python main.py restaurant-json-Senna.txt elman restaurant-elman-Senna-3-50-50 3 50 50 true
[learning] epoch 0 >> 0.03% completed in 0.11 (sec) <<
[learning] epoch 0 >> 10.83% completed in 65.80 (sec) <<
[learning] epoch 0 >> 10.86% completed in 65.86 (sec) <<
[learning] epoch 0 >> 10.90% completed in 66.15 (sec) <<
[learning] epoch 0 >> 10.93% completed in 66.26 (sec) <<
[learning] epoch 0 >> 10.96% completed in 66.52 (sec) <<
[learning] epoch 0 >> 10.99% completed in 66.67 (sec) <<
[learning] epoch 0 >> 11.03% completed in 66.95 (sec) <<
[learning] epoch 0 >> 11.06% completed in 67.20 (sec) <<
[learning] epoch 0 >> 11.09% completed in 67.45 (sec) <<
[learning] epoch 0 >> 11.12% completed in 67.58 (sec) <<
[learning] epoch 0 >> 11.15% completed in 67.95 (sec) <<
[learning] epoch 0 >> 11.19% completed in 68.64 (sec) <<
[learning] epoch 0 >> 11.22% completed in 68.87 (sec) <<
[learning] epoch 0 >> 11.25% completed in 68.99 (sec) <<
[learning] epoch 0 >> 11.28% completed in 69.32 (sec) <<
[learning] epoch 0 >> 11.31% completed in 69.47 (sec) <<
[learning] epoch 0 >> 11.35% completed in 70.10 (sec) <<
[learning] epoch 0 >> 11.38% completed in 70.15 (sec) <<
[learning] epoch 0 >> 11.41% completed in 70.17 (sec) <<
[learning] epoch 0 >> 11.44% completed in 70.74 (sec) <<
[learning] epoch 0 >> 11.48% completed in 70.88 (sec) <<
[learning] epoch 0 >> 11.51% completed in 71.09 (sec) <<
[learning] epoch 0 >> 11.54% completed in 71.31 (sec) <<
[learning] epoch 0 >> 11.57% completed in 71.36 (sec) <<
[learning] epoch 0 >> 11.60% completed in 71.65 (sec) <<
[learning] epoch 0 >> 11.64% completed in 71.73 (sec) <<
[learning] epoch 0 >> 11.67% completed in 72.19 (sec) <<
[learning] epoch 0 >> 11.70% completed in 72.35 (sec) <<
[learning] epoch 0 >> 11.73% completed in 72.52 (sec) <<
[learning] epoch 0 >> 11.76% completed in 72.87 (sec) <<
[learning] epoch 0 >> 11.80% completed in 72.91 (sec) <<
[learning] epoch 0 >> 11.83% completed in 73.16 (sec) <<
[learning] epoch 0 >> 11.86% completed in 73.23 (sec) <<
[learning] epoch 0 >> 11.89% completed in 73.44 (sec) <<
[learning] epoch 0 >> 11.93% completed in 73.72 (sec) <<
[learning] epoch 0 >> 11.96% completed in 73.85 (sec) <<
[learning] epoch 0 >> 11.99% completed in 74.64 (sec) <<
[learning] epoch 0 >> 12.02% completed in 74.90 (sec) <<
[learning] epoch 0 >> 12.05% completed in 75.28 (sec) <<
[learning] epoch 0 >> 12.09% completed in 75.31 (sec) <<
[learning] epoch 0 >> 12.12% completed in 75.45 (sec) <<
[learning] epoch 0 >> 12.15% completed in 75.61 (sec) <<
[learning] epoch 0 >> 12.18% completed in 75.67 (sec) <<
[learning] epoch 0 >> 12.21% completed in 75.94 (sec) <<
[learning] epoch 0 >> 12.25% completed in 76.35 (sec) <<
[learning] epoch 0 >> 12.28% completed in 76.42 (sec) <<
[learning] epoch 0 >> 12.31% completed in 76.62 (sec) <<
[learning] epoch 0 >> 12.34% completed in 76.69 (sec) <<
[learning] epoch 0 >> 12.38% completed in 76.78 (sec) <<
[learning] epoch 0 >> 12.41% completed in 77.13 (sec) <<
[learning] epoch 0 >> 12.44% completed in 77.61 (sec) <<
[learning] epoch 0 >> 12.47% completed in 77.88 (sec) <<
[learning] epoch 0 >> 12.50% completed in 78.90 (sec) <<
[learning] epoch 0 >> 12.54% completed in 79.18 (sec) <<
[learning] epoch 0 >> 12.57% completed in 79.48 (sec) <<
[learning] epoch 0 >> 12.60% completed in 79.98 (sec) <<
[learning] epoch 0 >> 12.63% completed in 80.06 (sec) <<
[learning] epoch 0 >> 12.66% completed in 80.22 (sec) <<
[learning] epoch 0 >> 12.70% completed in 80.35 (sec) <<
[learning] epoch 0 >> 12.73% completed in 80.45 (sec) <<
[learning] epoch 0 >> 12.76% completed in 80.87 (sec) <<
[learning] epoch 0 >> 12.79% completed in 81.30 (sec) <<
[learning] epoch 0 >> 12.83% completed in 81.48 (sec) <<
[learning] epoch 0 >> 12.86% completed in 81.67 (sec) <<
[learning] epoch 0 >> 12.89% completed in 81.79 (sec) <<
[learning] epoch 0 >> 12.92% completed in 82.60 (sec) <<
[learning] epoch 0 >> 12.95% completed in 82.79 (sec) <<
[learning] epoch 0 >> 12.99% completed in 83.01 (sec) <<
[learning] epoch 0 >> 13.02% completed in 83.57 (sec) <<
[learning] epoch 0 >> 13.05% completed in 83.65 (sec) <<
[learning] epoch 0 >> 13.08% completed in 83.90 (sec) <<
[learning] epoch 0 >> 13.11% completed in 84.25 (sec) <<
[learning] epoch 0 >> 13.15% completed in 84.69 (sec) <<
[learning] epoch 0 >> 13.18% completed in 84.86 (sec) <<
[learning] epoch 0 >> 13.21% completed in 85.04 (sec) <<
[learning] epoch 0 >> 13.24% completed in 85.38 (sec) <<
[learning] epoch 0 >> 13.28% completed in 85.52 (sec) <<
[learning] epoch 0 >> 13.31% completed in 85.77 (sec) <<
[learning] epoch 0 >> 13.34% completed in 85.98 (sec) <<
[learning] epoch 0 >> 13.37% completed in 86.02 (sec) <<
[learning] epoch 0 >> 13.40% completed in 86.15 (sec) <<
[learning] epoch 0 >> 13.44% completed in 86.53 (sec) <<
[learning] epoch 0 >> 13.47% completed in 86.81 (sec) <<
[learning] epoch 0 >> 13.50% completed in 86.91 (sec) <<
[learning] epoch 0 >> 13.53% completed in 87.44 (sec) <<
[learning] epoch 0 >> 13.56% completed in 88.13 (sec) <<
[learning] epoch 0 >> 13.60% completed in 88.33 (sec) <<
[learning] epoch 0 >> 13.63% completed in 88.82 (sec) <<
[learning] epoch 0 >> 13.66% completed in 89.07 (sec) <<
[learning] epoch 0 >> 13.69% completed in 89.38 (sec) <<
